age,name,birth_date,gender,state,city,country,salary
27,Judith,,Female,Texas,,USA,808216.0
10,Henry,,,California,Chicago,USA,925623.0
10,Steven,,,Pennsylvania,,USA,520014.0
30,Noah,,Male,Ohio,Chicago,USA,31863.0
10,Thomas,,,,New York City,USA,549481.0
30,Amber,,Male,Texas,,USA,346276.0
27,Albert,,Female,Florida,New York City,USA,495251.0
30,Austin,,Male,Ohio,,USA,625789.0
30,Elijah,,Male,,Chicago,USA,59836.0
27,Denise,,Female,,Chicago,USA,23844.0
10,Linda,,,Pennsylvania,,USA,448870.0
30,Deborah,,Male,,,USA,867532.0
27,Carolyn,,Female,Texas,,USA,864599.0
27,Charlotte,,Female,Texas,,USA,506873.0
30,Mary,,Male,Illinois,Chicago,USA,868774.0
27,Ruth,,Female,Texas,,USA,
27,Kayla,,Female,Georgia,,USA,674500.0
30,Elizabeth,,Male,,New York City,USA,
27,Karen,,Female,Western Cape,,South Africa,612158.0
27,Donna,,Female,Free State,,South Africa,642961.0
30,Ethan,,Male,Free State,,South Africa,
27,Abigail,,Female,Limpopo,Johannesburg,South Africa,632692.0
30,Megan,,Male,Eastern Cape,Johannesburg,South Africa,304669.0
27,Amber,,Female,Mpumalanga,Durban,South Africa,617190.0
27,Diana,,Female,Mpumalanga,Johannesburg,South Africa,685952.0
27,Philip,,Female,KwaZulu-Natal,Durban,South Africa,38321.0
30,Sophia,,Male,Gauteng,,South Africa,396142.0
27,Sophia,,Female,Eastern Cape,Johannesburg,South Africa,384136.0
27,Virginia,,Female,,,South Africa,890902.0
30,Kathryn,,Male,KwaZulu-Natal,Durban,South Africa,38364.0
10,Lawrence,,,Gauteng,,South Africa,690389.0
30,Elizabeth,,Male,Free State,,South Africa,31492.0
27,Evelyn,,Female,North West,Cape Town,South Africa,557469.0
30,Ronald,,Male,Free State,Cape Town,South Africa,766632.0
30,Kelly,,Male,Gauteng,,South Africa,
30,Amanda,,Male,,Cape Town,South Africa,405411.0
30,Wayne,,Male,Western Cape,Johannesburg,South Africa,941519.0
27,Danielle,,Female,Gauteng,Johannesburg,South Africa,399578.0
30,Cheryl,,Male,Eastern Cape,Durban,South Africa,793514.0
27,Evelyn,,Female,Western Cape,Johannesburg,South Africa,93662.0
27,Carolyn,,Female,Mpumalanga,,South Africa,593247.0
30,Elizabeth,,Male,Eastern Cape,Johannesburg,South Africa,
30,Jonathan,,Male,Western Cape,,South Africa,491400.0
27,Christine,,Female,Mpumalanga,Johannesburg,South Africa,141717.0
27,Christina,,Female,KwaZulu-Natal,Cape Town,South Africa,437405.0
10,Emily,,,Free State,Cape Town,South Africa,340832.0
30,Ruth,,Male,Western Cape,Durban,South Africa,510168.0
27,Patricia,,Female,Limpopo,Cape Town,South Africa,203387.0
30,Amy,,Male,Mpumalanga,Johannesburg,South Africa,772898.0
27,Amy,,Female,Mpumalanga,,South Africa,455425.0
27,Gabriel,,Female,Mpumalanga,,South Africa,500263.0
30,Natalie,,Male,,Durban,South Africa,717811.0
10,Kathryn,,,,,South Africa,656663.0
30,Brandon,,Male,Gauteng,Johannesburg,South Africa,530578.0
10,Jennifer,,,Free State,Cape Town,South Africa,452024.0
10,Megan,,,KwaZulu-Natal,Durban,South Africa,196710.0
10,Emma,,,,,South Africa,
30,Angela,,Male,Limpopo,,South Africa,907319.0
10,Nathan,,,Mpumalanga,Cape Town,South Africa,829865.0
27,Hannah,,Female,Eastern Cape,Cape Town,South Africa,223265.0
27,Mason,,Female,North West,,South Africa,
27,Billy,,Female,Limpopo,Johannesburg,South Africa,753094.0
10,Joseph,,,Mpumalanga,,South Africa,161519.0
27,Lisa,,Female,Gauteng,Durban,South Africa,576506.0
10,Hannah,,,,,South Africa,928480.0
10,Austin,,,KwaZulu-Natal,Johannesburg,South Africa,
27,Linda,,Female,Eastern Cape,,South Africa,758108.0
27,Noah,,Female,Free State,Durban,South Africa,883053.0
27,Margaret,,Female,Eastern Cape,,South Africa,753974.0
27,Roy,,Female,Western Cape,,South Africa,284564.0
27,Debra,,Female,Mpumalanga,,South Africa,530018.0
10,Russell,,,Eastern Cape,,South Africa,602242.0
27,Steven,,Female,Free State,Johannesburg,South Africa,508451.0
30,Joe,,Male,Eastern Cape,,South Africa,769152.0
10,Nicole,,,Free State,Durban,South Africa,800558.0
27,Ethan,,Female,Eastern Cape,Johannesburg,South Africa,697507.0
30,Angela,,Male,Free State,Cape Town,South Africa,208435.0
30,Kayla,,Male,Gauteng,,South Africa,992122.0
10,Cheryl,,,North West,Cape Town,South Africa,288574.0
30,Ronald,,Male,Western Cape,Johannesburg,South Africa,866134.0
27,Gabriel,,Female,Limpopo,Durban,South Africa,684385.0
27,Emily,,Female,Gauteng,,South Africa,323290.0
30,Sharon,,Male,Gauteng,,South Africa,
30,Nathan,,Male,Gauteng,,South Africa,14800.0
27,Carolyn,,Female,North West,,South Africa,986703.0
30,Maria,,Male,Gauteng,,South Africa,805563.0
30,Brittany,,Male,Limpopo,,South Africa,727345.0
10,Frank,,,Gauteng,,South Africa,798235.0
30,Alan,,Male,Western Cape,Johannesburg,South Africa,446039.0
27,Karen,,Female,North West,Johannesburg,South Africa,819643.0
10,Ronald,,,,,South Africa,192553.0
27,Steven,,Female,Eastern Cape,Cape Town,South Africa,894245.0
27,Danielle,,Female,Eastern Cape,,South Africa,422307.0
27,Deborah,,Female,North West,,South Africa,651985.0
27,Lawrence,,Female,,Durban,South Africa,564261.0
10,Jose,,,North West,Cape Town,South Africa,256932.0
30,Dorothy,,Male,KwaZulu-Natal,Durban,South Africa,453199.0
10,Catherine,,,North West,Cape Town,South Africa,317757.0
27,Wayne,,Female,North West,,South Africa,516174.0
10,Patrick,,,,,South Africa,505071.0
27,Andrea,,Female,Free State,Johannesburg,South Africa,240056.0
30,Bruce,,Male,,Johannesburg,South Africa,669134.0
30,Beverly,,Male,Western Cape,Durban,South Africa,56098.0
27,Samuel,,Female,Western Cape,,South Africa,487909.0
30,Olivia,,Male,Gauteng,,South Africa,271882.0
10,Joyce,,,Eastern Cape,Durban,South Africa,71184.0
30,Kayla,,Male,Free State,Johannesburg,South Africa,918520.0
27,Billy,,Female,Mpumalanga,Durban,South Africa,
27,Benjamin,,Female,Limpopo,,South Africa,
30,Judy,,Male,,Cape Town,South Africa,840062.0
30,Grace,,Male,,,South Africa,849510.0
10,Julia,,,Gauteng,Cape Town,South Africa,693949.0
30,Philip,,Male,North West,Cape Town,South Africa,321124.0
30,Nicole,,Male,Eastern Cape,Durban,South Africa,82843.0
30,Gabriel,,Male,Limpopo,,South Africa,16537.0
10,Robert,,,,Johannesburg,South Africa,988478.0
30,Steven,,Male,North West,Johannesburg,South Africa,
27,Ruth,,Female,Gauteng,Johannesburg,South Africa,496839.0
30,Billy,,Male,Limpopo,Cape Town,South Africa,940529.0
30,Judy,,Male,Gauteng,Johannesburg,South Africa,768404.0
10,Samantha,,,Eastern Cape,Durban,South Africa,252519.0
27,Joyce,,Female,Eastern Cape,,South Africa,256646.0
30,Harold,,Male,Limpopo,,South Africa,239002.0
10,Margaret,,,Limpopo,,South Africa,630693.0
27,Nathan,,Female,Limpopo,,South Africa,140106.0
27,Tyler,,Female,,Cape Town,South Africa,84257.0
27,Lisa,,Female,Gauteng,,South Africa,
27,Beverly,,Female,Gauteng,,South Africa,
27,Jack,,Female,,,South Africa,351791.0
27,Evelyn,,Female,North West,,South Africa,547807.0
27,Christine,,Female,North West,Cape Town,South Africa,95861.0
10,Christine,,,Gauteng,,South Africa,791225.0
30,Dylan,,Male,Free State,,South Africa,431140.0
30,James,,Male,Western Cape,Durban,South Africa,665624.0
27,Kevin,,Female,Mpumalanga,,South Africa,571205.0
30,Helen,,Male,North West,Cape Town,South Africa,634368.0
30,Frances,,Male,Free State,,South Africa,246868.0
10,John,,,,,South Africa,718164.0
30,Theresa,,Male,Gauteng,Durban,South Africa,498368.0
27,Christopher,,Female,North West,Johannesburg,South Africa,290873.0
10,Frances,,,,Johannesburg,South Africa,706237.0
27,Adam,,Female,Gauteng,Durban,South Africa,712371.0
27,Christine,,Female,KwaZulu-Natal,Durban,South Africa,59023.0
27,Joyce,,Female,Free State,Durban,South Africa,34284.0
30,Jennifer,,Male,Gauteng,Cape Town,South Africa,125695.0
27,Brenda,,Female,,Johannesburg,South Africa,377703.0
10,Dylan,,,Limpopo,Cape Town,South Africa,551330.0
30,Abigail,,Male,North West,,South Africa,
30,Jacqueline,,Male,Gauteng,Johannesburg,South Africa,388814.0
30,Janice,,Male,Gauteng,Durban,South Africa,312979.0
10,Patricia,,,Mpumalanga,Cape Town,South Africa,188645.0
10,Bryan,,,KwaZulu-Natal,Cape Town,South Africa,
10,Walter,,,Gauteng,,South Africa,370346.0
30,Jordan,,Male,,Johannesburg,South Africa,14652.0
27,Elijah,,Female,,Cape Town,South Africa,682018.0
27,Keith,,Female,Western Cape,Johannesburg,South Africa,155789.0
10,Noah,,,KwaZulu-Natal,Johannesburg,South Africa,483383.0
27,Frances,,Female,North West,Cape Town,South Africa,428306.0
27,Helen,,Female,Free State,Durban,South Africa,446313.0
27,Russell,,Female,KwaZulu-Natal,Johannesburg,South Africa,
27,Vincent,,Female,Limpopo,,South Africa,377467.0
27,Linda,,Female,,,South Africa,231123.0
27,Bruce,,Female,Mpumalanga,Durban,South Africa,932685.0
27,Bobby,,Female,Mpumalanga,,South Africa,874975.0
27,Linda,,Female,,Johannesburg,South Africa,610892.0
30,Andrew,,Male,Limpopo,Durban,South Africa,458455.0
30,Julia,,Male,North West,,South Africa,43165.0
27,David,,Female,Eastern Cape,,South Africa,906838.0
27,Katherine,,Female,Western Cape,Cape Town,South Africa,936768.0
10,Walter,,,,,South Africa,891085.0
30,Sean,,Male,,Durban,South Africa,667829.0
10,Judy,,,Limpopo,Johannesburg,South Africa,223951.0
30,Anthony,,Male,Gauteng,,South Africa,242190.0
30,Elijah,,Male,KwaZulu-Natal,Johannesburg,South Africa,294547.0
27,James,,Female,Eastern Cape,Johannesburg,South Africa,151236.0
27,Amber,,Female,,Cape Town,South Africa,601013.0
30,Karen,,Male,North West,,South Africa,715940.0
30,Jessica,,Male,Western Cape,Johannesburg,South Africa,598285.0
30,Ruth,,Male,Limpopo,Cape Town,South Africa,585139.0
30,Harold,,Male,Limpopo,Cape Town,South Africa,897950.0
30,Virginia,,Male,Free State,,South Africa,195111.0
10,Paul,,,Limpopo,,South Africa,655730.0
27,Kyle,,Female,Mpumalanga,,South Africa,883657.0
30,Benjamin,,Male,Mpumalanga,Cape Town,South Africa,828761.0
27,George,,Female,Mpumalanga,Durban,South Africa,
27,Sean,,Female,Eastern Cape,,South Africa,846634.0
10,Robert,,,,Cape Town,South Africa,734253.0
27,Robert,,Female,Gauteng,,South Africa,687416.0
10,Janice,,,,Cape Town,South Africa,101131.0
10,Stephen,,,,,South Africa,923504.0
30,Megan,,Male,KwaZulu-Natal,Cape Town,South Africa,277866.0
27,Wayne,,Female,Limpopo,,South Africa,5873.0
27,Benjamin,,Female,,Cape Town,South Africa,335154.0
10,Wayne,,,North West,Durban,South Africa,676665.0
27,Christian,,Female,Limpopo,,South Africa,128199.0
27,Virginia,,Female,KwaZulu-Natal,Durban,South Africa,215837.0
10,Brenda,,,Eastern Cape,Cape Town,South Africa,734563.0
30,Judy,,Male,Western Cape,Durban,South Africa,900088.0
30,Megan,,Male,,Johannesburg,South Africa,431325.0
27,Joshua,,Female,Free State,Cape Town,South Africa,501775.0
30,Ryan,,Male,KwaZulu-Natal,,South Africa,163965.0
30,Victoria,,Male,North West,Durban,South Africa,42486.0
27,Robert,,Female,Gauteng,Cape Town,South Africa,895805.0
10,Ryan,,,KwaZulu-Natal,,South Africa,65228.0
10,Billy,,,,,South Africa,878850.0
30,Jean,,Male,,Cape Town,South Africa,309929.0
30,Janet,,Male,KwaZulu-Natal,,South Africa,115071.0
30,Marie,,Male,KwaZulu-Natal,Cape Town,South Africa,625533.0
27,Carol,,Female,,Durban,South Africa,839936.0
30,Betty,,Male,Gauteng,Durban,South Africa,157869.0
30,Sharon,,Male,Eastern Cape,Durban,South Africa,456160.0
30,Mark,,Male,Mpumalanga,Johannesburg,South Africa,971800.0
10,Samantha,,,Eastern Cape,Cape Town,South Africa,
30,Albert,,Male,Mpumalanga,,South Africa,294963.0
30,Mary,,Male,Gauteng,Durban,South Africa,167367.0
30,Hannah,,Male,Free State,Johannesburg,South Africa,474094.0
30,Terry,,Male,Gauteng,Cape Town,South Africa,693472.0
27,Thomas,,Female,KwaZulu-Natal,,South Africa,890571.0
30,Austin,,Male,Gauteng,,South Africa,875158.0
10,Andrea,,,Free State,Cape Town,South Africa,
30,Kevin,,Male,Eastern Cape,,South Africa,620204.0
10,Gerald,,,Eastern Cape,,South Africa,665862.0
30,Lisa,,Male,Free State,Johannesburg,South Africa,
30,Teresa,,Male,Gauteng,,South Africa,
10,Abigail,,,Western Cape,Cape Town,South Africa,
10,Doris,,,Limpopo,Johannesburg,South Africa,626913.0
30,Brenda,,Male,Mpumalanga,Durban,South Africa,19852.0
10,Doris,,,Western Cape,Durban,South Africa,939025.0
10,Julie,,,Free State,,South Africa,251074.0
27,Jennifer,,Female,,,South Africa,643000.0
27,Catherine,,Female,,Cape Town,South Africa,484817.0
30,Brenda,,Male,North West,,South Africa,521860.0
27,Jordan,,Female,KwaZulu-Natal,Johannesburg,South Africa,799648.0
30,William,,Male,Gauteng,,South Africa,275013.0
30,Eric,,Male,Mpumalanga,,South Africa,508082.0
30,Steven,,Male,Gauteng,Durban,South Africa,
10,Jose,,,KwaZulu-Natal,,South Africa,441878.0
30,Julia,,Male,Western Cape,Cape Town,South Africa,926522.0
30,Beverly,,Male,Limpopo,,South Africa,
10,Janice,,,North Rhine-Westphalia,,Germany,
30,Sharon,,Male,Hesse,Hamburg,Germany,357798.0
30,Jose,,Male,Hesse,Hamburg,Germany,360046.0
